"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","420030031","5","6","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/02/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/03/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/04/2019","AQS","420030031","5","23","ug/m3 SC","21","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/05/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/06/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/07/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/08/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/09/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/10/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/11/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/12/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/13/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/14/2019","AQS","420030031","5","20","ug/m3 SC","19","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/15/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/16/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/17/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/18/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/19/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/20/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/21/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/22/2019","AQS","420030031","5","23","ug/m3 SC","21","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/23/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/24/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/25/2019","AQS","420030031","5","18","ug/m3 SC","17","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/26/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/27/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/28/2019","AQS","420030031","5","22","ug/m3 SC","20","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"01/29/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/01/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/02/2019","AQS","420030031","5","20","ug/m3 SC","19","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/03/2019","AQS","420030031","5","24","ug/m3 SC","22","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/04/2019","AQS","420030031","5","28","ug/m3 SC","26","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/05/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/06/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/07/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/12/2019","AQS","420030031","5","2","ug/m3 SC","2","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/13/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/14/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/15/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/16/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/17/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/18/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/19/2019","AQS","420030031","5","19","ug/m3 SC","18","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/20/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/21/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/22/2019","AQS","420030031","5","21","ug/m3 SC","19","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/23/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/24/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/25/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/26/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/27/2019","AQS","420030031","5","14","ug/m3 SC","13","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"02/28/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/01/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/02/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/03/2019","AQS","420030031","5","14","ug/m3 SC","13","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/04/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/05/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/06/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/07/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/08/2019","AQS","420030031","5","22","ug/m3 SC","20","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/09/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/10/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/11/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/12/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/13/2019","AQS","420030031","5","28","ug/m3 SC","26","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/14/2019","AQS","420030031","5","32","ug/m3 SC","30","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/21/2019","AQS","420030031","5","26","ug/m3 SC","24","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/22/2019","AQS","420030031","5","6","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/23/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/24/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/25/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/26/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/27/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/28/2019","AQS","420030031","5","28","ug/m3 SC","26","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/29/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"03/30/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/01/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/02/2019","AQS","420030031","5","19","ug/m3 SC","18","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/03/2019","AQS","420030031","5","19","ug/m3 SC","18","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/04/2019","AQS","420030031","5","25","ug/m3 SC","23","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/05/2019","AQS","420030031","5","9","ug/m3 SC","8","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/06/2019","AQS","420030031","5","15","ug/m3 SC","14","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/07/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/08/2019","AQS","420030031","5","10","ug/m3 SC","9","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/10/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/11/2019","AQS","420030031","5","14","ug/m3 SC","13","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/12/2019","AQS","420030031","5","16","ug/m3 SC","15","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/13/2019","AQS","420030031","5","14","ug/m3 SC","13","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/14/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/15/2019","AQS","420030031","5","4","ug/m3 SC","4","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/16/2019","AQS","420030031","5","11","ug/m3 SC","10","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/17/2019","AQS","420030031","5","22","ug/m3 SC","20","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/18/2019","AQS","420030031","5","22","ug/m3 SC","20","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/19/2019","AQS","420030031","5","12","ug/m3 SC","11","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/20/2019","AQS","420030031","5","6","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/21/2019","AQS","420030031","5","5","ug/m3 SC","5","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/22/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/23/2019","AQS","420030031","5","20","ug/m3 SC","19","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/24/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/25/2019","AQS","420030031","5","17","ug/m3 SC","16","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/26/2019","AQS","420030031","5","7","ug/m3 SC","6","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/27/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/28/2019","AQS","420030031","5","8","ug/m3 SC","7","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
"04/29/2019","AQS","420030031","5","13","ug/m3 SC","12","Flag Plaza","1","100.0000","81102","PM10 Total 0-10um STP","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4433671565527","-79.9902928112214"
